doi,tags,notes
10.1038/nature12373,deep learning; review,古典的総説
10.1145/3366423.3380258,hci; education,
10.1109/CVPR.2016.90,vision; cnn, ResNet
10.1080/1360144X.2018.1524571,had; education, エディトリアル
10.1080/1360144X.2017.1366322,had; education
10.1080/1360144X.2017.1381966,had; education
10.1080/1360144X.2017.1399271,had; education
10.1080/1360144X.2018.1510406,had; education
10.1080/1360144X.2018.1458617,had; education
10.1080/1360144X.2018.1520111,had; education
10.1080/1360144X.2018.1496439,had; education
10.1080/1360144X.2018.1521335,had; education
